# Select by flag: 0=uniformly populated footprint; 1=ridge line; 2,3= upper(N) and lower(S) footprint bounds
# ra                   dec                    D      flag  
  243.72189180718883   8.118536618590447      22.0   0     
  224.63038477028945   -3.9169355317134795    22.0   0     
  224.0186511211744    -6.5625308263242745    22.0   0     
  221.8385615635875    -7.00653002458568      22.0   0     
  243.88684093779713   7.784315935110015      22.0   0     
  228.6429239311278    -0.9507829655172636    22.0   0     
  226.49405166683985   -3.6033841740233563    22.0   0     
  238.89201157949728   6.081244514396725      22.0   0     
  242.62313836685385   7.492043508600336      22.0   0     
  244.39442396573176   7.973628146188045      22.0   0     
  246.889166938594     7.990412185489804      22.0   0     
  222.55667965027072   -7.56001741437344      22.0   0     
  221.6739650177315    -7.839256981320278     22.0   0     
  221.1227759350103    -9.510747822693293     22.0   0     
  241.72236256448502   6.263835115765648      22.0   0     
  223.49904363142142   -6.906501341731288     22.0   0     
  228.7758636553812    -1.4993963517266382    22.0   0     
  229.23343886854224   0.5650939060963116     22.0   0     
  221.95437039352694   -8.944690892678118     22.0   0     
  226.4132806451788    -2.231397694601833     22.0   0     
  245.62689209492683   8.420975775612375      22.0   0     
  220.01164975166196   -11.15076504670076     22.0   0     
  231.73234875080698   1.2878825120998334     22.0   0     
  241.09724851402987   5.613905579023921      22.0   0     
  225.3310589300437    -3.9639275320244356    22.0   0     
  220.38435056036195   -11.266630217279149    22.0   0     
  244.6947251810839    7.215756152703634      22.0   0     
  231.31261955658147   0.9638403350277953     22.0   0     
  244.00134721736674   7.3692907896070174     22.0   0     
  221.28041449096554   -9.549823306688362     22.0   0     
  247.33360006294177   9.50915863414268       22.0   0     
  244.06452946719122   7.143358127781241      22.0   0     
  230.08336001287242   0.5378171167412424     22.0   0     
  232.1772978240921    2.892738659109629      22.0   0     
  226.47539819939405   -3.116108906832936     22.0   0     
  239.7391589930168    5.876153700103474      22.0   0     
  222.73344442742322   -6.957630067070129     22.0   0     
  243.74583526421765   8.17872485061302       22.0   0     
  220.74191060681966   -10.474989148171062    22.0   0     
  246.30696239576628   9.034359808977534      22.0   0     
  229.18404917798887   1.0974461802420343     22.0   0     
  248.59499772382196   9.784268045910947      22.0   0     
  238.27475542829126   4.3658472654008715     22.0   0     
  241.8787236815072    7.092273726392829      22.0   0     
  246.84198325774344   8.124534910004705      22.0   0     
  235.10458885960313   3.419925784882743      22.0   0     
  243.6974529280941    7.285732421350501      22.0   0     
  244.19913604568754   7.203527170392099      22.0   0     
  233.2968725453073    3.5885889604684817     22.0   0     
  236.97670841935377   4.697075577661047      22.0   0     
  230.95513255770763   2.4582822228934593     22.0   0     
  220.0443804674252    -9.31724785961588      22.0   0     
  243.5786511587841    7.352893843612052      22.0   0     
  233.75627722653036   2.793853269995557      22.0   0     
  224.45172466306104   -4.258371741645664     22.0   0     
  227.8377865994455    -1.8403503731505586    22.0   0     
  222.32383032386227   -8.215158422692037     22.0   0     
  224.01775792256922   -4.5612693289741015    22.0   0     
  221.7340652506822    -8.231318617078374     22.0   0     
  242.37144829352772   6.706001617768134      22.0   0     
  247.14779915865287   8.269319596327893      22.0   0     
  246.3627490513133    7.8526841218187915     22.0   0     
  230.44092899341558   1.725914441866848      22.0   0     
  222.7601083572176    -8.05257784441106      22.0   0     
  219.7566843552569    -11.595161810411646    22.0   0     
  228.2747514708834    -0.37276745022645047   22.0   0     
  243.68540234398557   8.123386305700224      22.0   0     
  243.3240362099752    7.103208465245895      22.0   0     
  236.42319074743037   4.809444971390465      22.0   0     
  236.93001044345837   4.121895469788162      22.0   0     
  230.1762785703617    0.9917764683331183     22.0   0     
  223.73742384421524   -6.130277530292708     22.0   0     
  227.43129620390104   -0.9440464705281141    22.0   0     
  226.14892141862828   -2.631811757240633     22.0   0     
  219.67376695780752   -11.535683742009178    22.0   0     
  230.38679011057      1.2911236958932644     22.0   0     
  234.4139820721182    3.3582368760293835     22.0   0     
  228.0708115071493    -1.9158012471491044    22.0   0     
  226.03719252351405   -3.9282318411850747    22.0   0     
  242.34412071057614   7.668218914466079      22.0   0     
  228.32211838926327   -1.7067488869865572    22.0   0     
  246.94490914177408   8.327463429811344      22.0   0     
  240.25074701243778   6.035129406103635      22.0   0     
  225.78066476257456   -4.2804321161678525    22.0   0     
  234.62157587473354   3.5132011072064637     22.0   0     
  226.7949395653696    -1.558787266968944     22.0   0     
  228.95665584427798   -0.7784408333184151    22.0   0     
  233.05219267471384   2.8578920804682304     22.0   0     
  221.2593403623438    -8.255514284026654     22.0   0     
  248.14889151529974   8.825577080283484      22.0   0     
  236.39891011703526   3.8864995482399864     22.0   0     
  226.21809428670142   -3.5819009697515924    22.0   0     
  239.9099811084255    5.303538743360451      22.0   0     
  244.4112374334733    7.159331304167157      22.0   0     
  246.56521023382865   8.847695816422139      22.0   0     
  241.18171286711876   7.061109873125402      22.0   0     
  221.89170311390532   -8.037647347154158     22.0   0     
  227.20882796493132   -2.871514105824302     22.0   0     
  242.9154714054539    7.924714774256451      22.0   0     
  225.66717010301346   -3.2884181140082465    22.0   0     
  242.70030359640836   6.84146212859697       22.0   0     
  242.24285761882115   6.717346931955096      22.0   0     
  220.10449666360614   -10.747167697935135    22.0   0     
  235.07299386014733   2.9569870333947734     22.0   0     
  241.78185430293783   6.239807244860891      22.0   0     
  220.20613802967029   -11.227777185307833    22.0   0     
  248.60326555563992   9.56199664589464       22.0   0     
  222.23101701952805   -6.560804294708441     22.0   0     
  248.50120200912747   9.33978586416992       22.0   0     
  232.9959642980542    2.838913599733151      22.0   0     
  220.4461830481204    -10.743856017480613    22.0   0     
  247.2085105554084    9.337828871742895      22.0   0     
  232.9785795406443    2.838361370852995      22.0   0     
  225.77071160610814   -4.26132152910447      22.0   0     
  224.85792910130976   -4.830341313977966     22.0   0     
  233.89998045806453   3.995905047636802      22.0   0     
  241.83537349207197   6.70152176965444       22.0   0     
  243.1959033834645    7.170550057535151      22.0   0     
  223.69061891523125   -5.929686923889871     22.0   0     
  230.58926169977786   1.3303114302540597     22.0   0     
  221.58374605769853   -9.203732561479777     22.0   0     
  241.59482415369555   6.2300297698529965     22.0   0     
  227.03286767448444   -2.0391953377516776    22.0   0     
  244.09873690856614   7.5778678670064235     22.0   0     
  225.6988231990993    -2.956090985771656     22.0   0     
  228.3036301040406    -1.7103244719550939    22.0   0     
  233.9096090221902    4.022031182133871      22.0   0     
  243.78439952178874   6.794261311520884      22.0   0     
  222.6864532529158    -7.291021157775702     22.0   0     
  227.3940133686016    -1.0394981171813247    22.0   0     
  228.16194876713658   -1.7029991779017       22.0   0     
  247.9464173881485    9.043645068610031      22.0   0     
  244.46280072963341   7.860490962477336      22.0   0     
  248.00478107004244   8.989003585576054      22.0   0     
  242.99637008655813   7.960403336270708      22.0   0     
  224.2696625068881    -5.510773160470913     22.0   0     
  225.11977425827317   -5.116684974839258     22.0   0     
  225.42823593911655   -3.8045955959765694    22.0   0     
  226.97455462839514   -1.9324074497985968    22.0   0     
