# RA           DEC          D_kpc    flag  
  227.149463   57.095092    11.97    0     
  156.453274   44.087984    8.345    0     
  124.491613   -6.565713    14.536   0     
  131.299589   6.757387     9.827    0     
  172.514198   53.68881     9.191    0     
  193.732821   57.043564    10.314   0     
  149.407592   38.16014     8.091    0     
  184.39701    56.317257    9.832    0     
  192.086201   56.416252    10.23    0     
  205.464886   58.193318    10.903   0     
  142.12582    28.358356    8.101    0     
  128.561613   -0.093691    11.076   0     
  120.280656   -14.612066   19.62    0     
  144.369828   28.11773     8.05     0     
  161.852089   45.478181    8.611    0     
  157.612605   42.7424      8.399    0     
  155.784997   42.388176    8.315    0     
  136.575862   20.718808    8.559    0     
  149.642677   34.40383     8.096    0     
  122.803328   -13.136955   16.574   0     
  205.383029   58.32337     10.899   0     
  204.413823   57.396503    10.85    0     
  135.589546   17.687762    8.715    0     
  191.747572   57.765348    10.213   0     
  164.66042    49.067378    8.76     0     
  227.313847   57.089109    11.979   0     
  126.912321   0.877177     12.152   0     
  125.066445   -8.790789    13.849   0     
  215.569419   57.449051    11.402   0     
  124.138506   -4.776606    14.962   0     
  120.988658   -14.079991   18.765   0     
  131.290699   9.168695     9.83     0     
  122.704235   -9.152767    16.694   0     
  175.545053   52.297574    9.357    0     
  161.220785   44.754382    8.578    0     
  152.546657   41.071979    8.185    0     
  160.013978   44.926465    8.516    0     
  200.432588   56.84642     10.652   0     
  134.876021   15.074404    8.847    0     
  123.957235   -4.621796    15.181   0     
  185.553862   55.015323    9.892    0     
  234.913799   55.81525     12.352   0     
  146.851104   35.519373    8.049    0     
  123.859032   -12.197859   15.3     0     
  140.250886   25.831421    8.192    0     
  129.156163   5.352955     10.757   0     
  139.984374   26.40152     8.21     0     
  225.061452   58.515025    11.868   0     
  146.734225   33.68541     8.048    0     
  130.354831   4.631334     10.198   0     
  136.076674   17.359386    8.634    0     
  154.030558   40.452546    8.241    0     
  141.598176   27.636622    8.122    0     
  145.842086   34.183945    8.044    0     
  211.590513   58.685698    11.206   0     
  181.203855   55.956314    9.662    0     
  181.560327   53.96988     9.681    0     
  207.99528    58.437976    11.028   0     
  144.902258   29.610067    8.046    0     
  151.512009   38.18053     8.15     0     
  174.869498   53.303959    9.32     0     
  199.266439   58.261288    10.593   0     
  135.064568   13.154153    8.81     0     
  156.08591    42.982906    8.328    0     
  137.551163   21.919635    8.432    0     
  135.714614   14.820562    8.693    0     
  236.759955   56.489616    12.442   0     
  129.181669   5.721403     10.744   0     
  123.743097   -5.239696    15.439   0     
  155.591767   43.805362    8.306    0     
  128.79682    -0.637578    10.946   0     
  200.077433   59.611141    10.634   0     
  143.690801   32.072488    8.06     0     
  141.462698   29.228474    8.128    0     
  128.866906   2.126524     10.908   0     
  174.620194   54.694588    9.306    0     
  165.718834   48.891501    8.818    0     
  151.652924   38.634353    8.154    0     
  139.048824   23.782391    8.281    0     
